Year,City,Population,Crime Type,Number of Cases
2014,Ahmedabad,63.5,Murder,82
2015,Ahmedabad,63.5,Murder,94
2016,Ahmedabad,63.5,Murder,103
2017,Ahmedabad,63.5,Murder,90
2018,Ahmedabad,63.5,Murder,98
2019,Ahmedabad,63.5,Murder,81
2020,Ahmedabad,63.5,Murder,70
2021,Ahmedabad,63.5,Murder,97
2014,Bengaluru,85.0,Murder,241
2015,Bengaluru,85.0,Murder,235
2016,Bengaluru,85.0,Murder,229
2017,Bengaluru,85.0,Murder,235
2018,Bengaluru,85.0,Murder,218
2019,Bengaluru,85.0,Murder,204
2020,Bengaluru,85.0,Murder,179
2021,Bengaluru,85.0,Murder,155
2014,Chennai,87.0,Murder,161
2015,Chennai,87.0,Murder,149
2016,Chennai,87.0,Murder,133
2017,Chennai,87.0,Murder,154
2018,Chennai,87.0,Murder,172
2019,Chennai,87.0,Murder,172
2020,Chennai,87.0,Murder,150
2021,Chennai,87.0,Murder,161
2014,Coimbatore,21.5,Murder,21
2015,Coimbatore,21.5,Murder,25
2016,Coimbatore,21.5,Murder,27
2017,Coimbatore,21.5,Murder,21
2018,Coimbatore,21.5,Murder,31
2019,Coimbatore,21.5,Murder,39
2020,Coimbatore,21.5,Murder,31
2021,Coimbatore,21.5,Murder,30
2014,Delhi,163.1,Murder,472
2015,Delhi,163.1,Murder,480
2016,Delhi,163.1,Murder,479
2017,Delhi,163.1,Murder,400
2018,Delhi,163.1,Murder,416
2019,Delhi,163.1,Murder,505
2020,Delhi,163.1,Murder,461
2021,Delhi,163.1,Murder,454
2014,Ghaziabad,23.6,Murder,73
2015,Ghaziabad,23.6,Murder,65
2016,Ghaziabad,23.6,Murder,59
2017,Ghaziabad,23.6,Murder,52
2018,Ghaziabad,23.6,Murder,52
2019,Ghaziabad,23.6,Murder,48
2020,Ghaziabad,23.6,Murder,23
2021,Ghaziabad,23.6,Murder,25
2014,Hyderabad,77.5,Murder,118
2015,Hyderabad,77.5,Murder,95
2016,Hyderabad,77.5,Murder,86
2017,Hyderabad,77.5,Murder,64
2018,Hyderabad,77.5,Murder,81
2019,Hyderabad,77.5,Murder,86
2020,Hyderabad,77.5,Murder,71
2021,Hyderabad,77.5,Murder,98
2014,Indore,21.7,Murder,88
2015,Indore,21.7,Murder,61
2016,Indore,21.7,Murder,58
2017,Indore,21.7,Murder,64
2018,Indore,21.7,Murder,57
2019,Indore,21.7,Murder,57
2020,Indore,21.7,Murder,63
2021,Indore,21.7,Murder,54
2014,Jaipur,30.7,Murder,108
2015,Jaipur,30.7,Murder,90
2016,Jaipur,30.7,Murder,97
2017,Jaipur,30.7,Murder,90
2018,Jaipur,30.7,Murder,96
2019,Jaipur,30.7,Murder,93
2020,Jaipur,30.7,Murder,95
2021,Jaipur,30.7,Murder,118
2014,Kanpur,29.2,Murder,56
2015,Kanpur,29.2,Murder,59
2016,Kanpur,29.2,Murder,69
2017,Kanpur,29.2,Murder,51
2018,Kanpur,29.2,Murder,51
2019,Kanpur,29.2,Murder,53
2020,Kanpur,29.2,Murder,41
